date,temperature_2m_d,max_temperature_2m_d,min_temperature_2m_d,dewpoint_temperature_2m_d,humidity_d,surface_pressure_d,total_precipitation_d,u_component_of_wind_10m_d,v_component_of_wind_10m_d
2015-01-01,298.46566972383056,302.8594645680131,293.0007884299776,295.8000291630739,85.49939848907398,99544.86922681444,20.032340149021135,-0.050305378819151286,-0.8371022531303391
2015-01-02,293.74491999866825,298.79564101827555,289.3997839338431,287.53223941243584,68.63580548867995,100559.23547191452,0.1441462482793965,-0.3541008619507661,4.492903286171556
2015-01-03,295.9926061374796,301.90614015067524,290.52326008678347,289.05088656165424,66.56671467659679,100758.81263456221,0.0038165490415644,-1.959341287011098,0.9970831216289212
2015-01-04,298.4800024755906,304.36792357774925,291.8040582963064,291.12711455169625,65.64082126003761,100687.55754834034,0.004900486459679556,-1.2715568240527733,1.0708101143027613
2015-01-05,300.61020529218484,306.5021548560335,294.6315041573942,294.21309523251944,69.09282896484862,100434.65464105281,0.7101906060209131,-1.8881589183156275,-1.2164291797238214
2015-01-06,303.23402993223215,308.74406153431994,298.82431938713785,297.5552047001762,73.00823023242008,100166.87817033353,0.3828667337254644,-1.2985759480744234,-3.6184722098331648
2015-01-07,299.07787260782936,302.7967430151448,296.288559770162,295.7632941155236,82.43540843847317,100118.7931640973,20.69463934438915,-1.2902680444118773,-0.2190170653244923
2015-01-08,298.79090331878984,302.60120554203104,296.6356553953773,296.6366466402816,88.27207707853674,100245.51402950904,10.780319217724399,-1.4028621268200177,-1.094821859496063
2015-01-09,300.6273001312691,305.0271669657316,297.6116723263781,297.2542683709621,82.60113966994871,100130.97308360117,12.99145034726331,0.2921289117823764,-3.0608340287467684
2015-01-10,301.48116372861716,305.16589696043246,298.0909047229574,297.49471202165415,79.7735238482075,100214.61320538464,6.150129066227123,-1.394689672739118,-1.683826338484075
2015-01-11,298.98179151581814,303.42797788667673,296.3107384912062,295.6323266774476,82.37870537965328,100249.18382180981,17.639513217066135,0.50041984801824,-1.9227210993755135
2015-01-12,300.1286851402954,306.2762103202246,294.7045876560255,296.061200227039,79.70662112975332,100283.3564471105,2.452494115785251,-0.8500253515933032,-1.1454918869120736
2015-01-13,302.59491402257333,307.4505503002478,298.818433936166,297.19076949802263,73.97383538483537,100018.62868074217,4.356327699411605,-1.00498973977228,-3.599912000982553
2015-01-14,299.048150647272,302.1644637525919,296.9713238197685,295.987853647744,83.66035277522946,100210.76821439569,14.152550080399436,-0.9675379607159602,-0.4934225940813773
2015-01-15,298.2333379723845,301.22666903511265,295.76307138813524,295.6825197775728,86.18500269468159,100700.7799800105,7.03093256519984,-2.205334832650321,0.3141761165320347
2015-01-16,298.77016787781884,303.05916323443444,296.02639636924295,296.08453117198866,85.5662225247825,100507.98472091781,9.23830843524649,-1.7528665720506666,-0.6757268867706033
2015-01-17,300.46631762740253,305.8633612850085,296.1511137775934,296.3717586795782,79.84469257863356,100350.69061697264,6.829532784299578,-0.6679984515625169,0.947914161487671
2015-01-18,300.41859997103995,305.47247556516584,296.0935709355681,296.3237437736309,79.38131825767455,100389.40455706735,3.4142997624352454,-1.1592680464115976,-0.5209063599761563
2015-01-19,300.90164187923483,307.2799337384478,296.43382984570775,296.57582449172423,78.55257453324744,100343.91581180952,4.669599600575808,-0.5350353554623648,-2.182587544351078
2015-01-20,296.7519926988873,300.1504043086999,293.6499070128288,294.3470275646902,86.80699238832474,100651.07420482971,17.278003022946727,-1.3615878267099089,3.6256652079292944
2015-01-21,297.44766527531493,302.1661115722148,293.5297099887922,292.20899726481144,73.92508531283036,100960.4474098154,0.06572346033712863,-2.9968750114331026,2.9844651700460956
2015-01-22,297.8197021448123,303.01454978417684,292.6364957199191,291.83163862233494,70.30090925478528,100865.03145439542,0.04706759502339166,-3.858264073981746,1.0921616018964113
2015-01-23,299.2029604077188,305.09339498687655,293.57392844059484,293.1328667227598,70.09495376258413,100574.46142470819,0.43509121813433604,-2.4080028742164163,0.3524387165905814
2015-01-24,300.7355979760382,306.33856264429176,296.2049695770722,296.01727791464634,76.79139618902151,100242.50108717039,5.54269135522339,-0.8516738321212866,0.22412045039096032
2015-01-25,300.68399547022494,306.23190551402536,295.2097727460702,295.2537601980947,74.41568433320124,100181.155540068,0.5986814395135536,0.21430203557576533,-0.4143676783011365
2015-01-26,301.64944030975585,306.95007710378394,296.717573286087,295.8041252339685,72.31370292481017,100136.23142646218,0.5014128759883925,-0.6094080384393895,-2.1398549739203028
2015-01-27,301.7865421435411,306.1036790037916,297.7397859114227,296.47086390009133,73.99596598289789,100083.20579791717,2.828788196815938,-0.8670938567990715,-2.6201943541717267
2015-01-28,299.8767378978634,304.03921063269036,296.82133192159904,296.1835012266553,80.70567728275738,99977.64387931897,11.155810903015162,-0.482135153486913,-2.386236426254954
2015-01-29,297.21430683674083,301.0223286427022,294.68705874757575,292.9466277574102,78.73770606303053,100429.7353542885,5.147427296858482,-1.1598790398876153,4.389039769389039
2015-01-30,295.778960998575,300.8323474224046,290.48627468344074,289.1603577925302,68.11135709159066,100884.11860550795,0.0002283486406264469,-3.199213459640838,2.5814155301112014
2015-01-31,296.6812406864926,303.3925500860575,290.27057629806336,290.2223961228547,68.8145874622311,100718.33318314946,0.05270314377489136,-2.3481078174615924,1.4967376686888845
2015-02-01,299.46951640682425,305.86519849233105,293.5136424521903,293.61527956863847,72.38978734468407,100478.52086666458,0.09691133268136354,-1.8209793247278516,0.44010503977385473
2015-02-02,301.0149339183235,307.0641789190232,295.40191070380826,295.58923191488105,73.74327386014447,100390.1958108444,2.6822055369528592,-1.7134542104880988,0.28575071733457896
2015-02-03,299.3232095012289,302.19831399452556,297.16787353232854,296.4001527276367,84.21733437261844,100230.09362054174,12.43594337090535,-1.6043092797060567,0.15992021738530557
2015-02-04,299.39754766980906,304.4239092538706,296.1697710561391,296.282706519703,84.06513550413933,100007.22392252737,2.4998383762896474,-0.9755399912990578,0.43913656678987145
2015-02-05,300.45857837085873,305.1929514223884,295.83890281097695,295.623058287599,76.34886367473227,99992.24442935386,0.42868556041083955,-2.1447595346531183,1.4140077176442827
2015-02-06,300.20322490668786,305.09328389415583,295.10263780644954,294.08605576399816,71.06956047419271,100099.13373077147,0.05525886435998712,-2.4707967874350576,1.539616608672724
2015-02-07,299.5619773268875,304.87663052717426,293.8763275572428,292.7746613759598,68.0602347634828,100129.72034618692,0.0773447424241059,-1.9931857452905455,1.4318656752462047
